GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Connecticut","CT",.14967062,.13788179,.11938773,.13867947,.13239874,.10806756,.11160821,.11033477,.11226549,.11438215
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Delaware","DE",.10414585,.10970967,.16454959,.16213714,.11439376,.07512078,.07302532,.06581131,.06867141,.09956063
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"District of Columbia","DC",.17997469,.13074747,.08192804,.133928,.15437417,.1290451,.14428017,.14306799,.17118454,.14365374
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Florida","FL",.16292265,.15196541,.14118069,.13809685,.13730386,.12813336,.11835465,.114467,.11496809,.11471108
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Georgia","GA",.17373879,.16128887,.16009656,.15351966,.14534689,.12427779,.10632885,.1016606,.09110107,.08786875
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Hawaii","HI",.14501651,.13748872,.13958581,.128031,.10027681,.12922926,.114816,.08793798,.10567611,.10225716
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Idaho","ID",.16979244,.14080295,.13436182,.13762225,.13537255,.12192333,.08679151,.08672532,.11424492,.10414696
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Illinois","IL",.13077481,.12045936,.11164707,.10186718,.10231695,.09721081,.08655693,.08272278,.07467529,.07238913
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Indiana","IN",.17941737,.15927976,.1384756,.13030322,.15010108,.15624186,.13369292,.12344908,.12798995,.10030992
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Iowa","IA",.1696685,.17654611,.18013641,.14496164,.13832787,.14112721,.13871472,.15370983,.14416897,.1039981
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Kansas","KS",.15399438,.14649957,.11781074,.11983633,.1319562,.12440315,.10421084,.10834794,.10490547,.09688702
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Kentucky","KY",.21995927,.20143202,.19429384,.15945971,.16598628,.1678291,.1685819,.16204329,.15569063,.17293999
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Louisiana","LA",.10347196,.15559743,.1394742,.12940711,.13404754,.12988552,.10870935,.09775818,.10184186,.1110277
