GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Cincinnati, OH-KY-IN",17140,.2014949,.2149736,.1841918,.3068065,.3294432,.3059564,.2779036,.2701187,.2831766
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Cleveland-Elyria, OH",17460,.1410122,.1637811,.1760642,.1584359,.1551528,.1740977,.1878797,.1784625,.15014641
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Colorado Springs, CO",17820,.154576,.1996589,.2398668,.2289371,.228123,.280806,.3516156,.3228275,.32446411
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Columbia, SC",17900,.2149047,.2675668,.339895,.3520667,.3386493,.3626814,.4030123,.4319048,.39827612
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Columbus, OH",18140,.3066845,.3051002,.2353193,.2335705,.2506953,.2486397,.259397,.258161,.25440255
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Dallas-Fort Worth-Arlington, TX",19100,.3932277,.4112059,.4148484,.4267693,.426433,.4331017,.4435273,.4512988,.44571739
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Dayton, OH",19380,.15419,.1677349,.180862,.1464282,.198245,.2578722,.200443,.1574967,.17110753
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Deltona-Daytona Beach-Ormond Beach, FL",19660,.2801094,.2256892,.2057145,.1657144,.2222877,.2953835,.2852193,.2268194,.22218853
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Denver-Aurora-Lakewood, CO",19740,.3562841,.3564161,.4065014,.4215544,.4096418,.3966066,.3721204,.3697804,.38501653
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Des Moines-West Des Moines, IA",19780,.4627395,.3665015,.2760515,.3603154,.4058828,.2965729,.2866822,.2590519,.2384789
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Detroit-Warren-Dearborn, MI",19820,.1735958,.1838197,.1674658,.1663209,.18844,.1974082,.1921908,.1905536,.18042466
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"El Paso, TX",21340,.3533897,.3262364,.3492163,.3544951,.3554512,.3416056,.3473455,.3296173,.30602771
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Fresno, CA",23420,.3755012,.3901948,.3851579,.4351013,.4684013,.4655866,.4756696,.4587965,.46774843
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Grand Rapids-Wyoming, MI",24340,.3041116,.3574269,.3264953,.30633,.3206833,.3274492,.3426788,.3352156,.37738669
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Greensboro-High Point, NC",24660,.3935042,.4163561,.3751824,.4155244,.4333639,.3781365,.4350296,.4815312,.44534746
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Greenville-Anderson-Mauldin, SC",24860,.3219334,.3650331,.4236615,.440402,.406332,.3954593,.3950251,.4098232,.45437208
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Harrisburg-Carlisle, PA",25420,.168798,.1804239,.2625722,.2708453,.2214047,.1882465,.1689177,.1781733,.15453863
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Hartford-West Hartford-East Hartford, CT",25540,.1840276,.1843978,.2222418,.2128995,.1951256,.1968397,.2055196,.221004,.20979799
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Houston-The Woodlands-Sugar Land, TX",26420,.3680559,.379184,.3942395,.400004,.4058656,.4101354,.4130772,.4178678,.42460164
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Indianapolis-Carmel-Anderson, IN",26900,.3010734,.3036077,.3397361,.3708614,.3702236,.3942317,.4223975,.4237831,.39854828
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Jackson, MS",27140,.1513967,-97,-97,.4249957,.4095759,-97,-97,.290344,.33807284
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Jacksonville, FL",27260,.1901484,.1842793,.1952957,.1680003,.1783122,.1794042,.1551968,.1310716,.14642981
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Kansas City, MO-KS",28140,.2739667,.3316857,.3258909,.3400205,.377721,.3504224,.2933021,.3089608,.34830359
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Knoxville, TN",28940,.3206939,.3066756,.2478425,.2898231,.2622239,.1871268,.2164317,.2406215,.3546524
